"PS potential (Σ classifier distance P)","count","% of set, input file","% of set, human proteome","human proteome accepted","input file accepted (recall)"
"84","3282","32.019512195121955","11.76470588235294","0.11764705882352941","0.3201951219512195"
"85","3259","31.795121951219514","11.624011791504756","0.11624011791504757","0.3179512195121951"
"86","3235","31.5609756097561","11.463218544821117","0.11463218544821117","0.315609756097561"
"87","3204","31.258536585365853","11.326544285140024","0.11326544285140024","0.31258536585365854"
"88","3178","31.004878048780487","11.209969181294385","0.11209969181294385","0.3100487804878049"
"89","3156","30.790243902439023","11.092054133726384","0.11092054133726384","0.30790243902439024"
"90","3125","30.48780487804878","10.97011925499129","0.10970119254991291","0.3048780487804878"
"91","3091","30.15609756097561","10.84148465764438","0.10841484657644379","0.3015609756097561"
"92","3063","29.882926829268293","10.698110679351467","0.10698110679351468","0.2988292682926829"
"93","3037","29.629268292682926","10.53865737639019","0.10538657376390191","0.29629268292682925"
"94","3022","29.48292682926829","10.404663004153827","0.10404663004153826","0.2948292682926829"
"95","2993","29.2","10.294787618920004","0.10294787618920005","0.292"
"96","2971","28.985365853658536","10.188932064853276","0.10188932064853276","0.28985365853658535"
"97","2946","28.741463414634143","10.061637411228729","0.10061637411228729","0.28741463414634144"
"98","2924","28.52682926829268","9.914243601768726","0.09914243601768725","0.2852682926829268"
"99","2905","28.341463414634145","9.81374782259145","0.09813747822591451","0.28341463414634144"
"100","2884","28.136585365853655","9.691812943856357","0.09691812943856358","0.28136585365853656"
"101","2863","27.931707317073172","9.576577783733082","0.09576577783733083","0.27931707317073173"
"102","2839","27.697560975609758","9.500200991558355","0.09500200991558355","0.2769756097560976"
"103","2819","27.502439024390245","9.390325606324534","0.09390325606324534","0.27502439024390246"
"104","2792","27.239024390243905","9.313948814149805","0.09313948814149806","0.27239024390243904"
"105","2770","27.02439024390244","9.204073428915986","0.09204073428915986","0.2702439024390244"
"106","2743","26.7609756097561","9.106257537183438","0.09106257537183439","0.267609756097561"
"107","2729","26.62439024390244","9.013801420340346","0.09013801420340346","0.2662439024390244"
"108","2709","26.429268292682927","8.941444459332708","0.08941444459332708","0.2642926829268293"
"109","2693","26.273170731707317","8.85434811737907","0.0885434811737907","0.2627317073170732"
"110","2679","26.13658536585366","8.757872169368888","0.08757872169368887","0.2613658536585366"
"111","2660","25.951219512195124","8.676135602304704","0.08676135602304703","0.25951219512195123"
"112","2644","25.795121951219514","8.603778641297065","0.08603778641297065","0.25795121951219513"
"113","2624","25.6","8.497923087230335","0.08497923087230336","0.256"
"114","2606","25.42439024390244","8.422886238777972","0.08422886238777971","0.2542439024390244"
"115","2590","25.26829268292683","8.333110009379606","0.08333110009379606","0.2526829268292683"
"116","2570","25.073170731707318","8.268792710706151","0.0826879271070615","0.25073170731707317"
"117","2551","24.88780487804878","8.180356425030148","0.08180356425030148","0.2488780487804878"
"118","2533","24.71219512195122","8.09995980168833","0.08099959801688329","0.2471219512195122"
"119","2516","24.546341463414635","8.0088436285676","0.080088436285676","0.24546341463414634"
"120","2501","24.4","7.933806780115235","0.07933806780115235","0.244"
"121","2486","24.253658536585366","7.841350663272142","0.07841350663272142","0.24253658536585365"
"122","2463","24.029268292682925","7.754254321318505","0.07754254321318504","0.24029268292682926"
"123","2438","23.785365853658536","7.683237304033231","0.0768323730403323","0.23785365853658536"
"124","2421","23.61951219512195","7.614900174192683","0.07614900174192683","0.2361951219512195"
"125","2407","23.48292682926829","7.551922819241592","0.07551922819241592","0.2348292682926829"
"126","2386","23.278048780487808","7.486265576845772","0.07486265576845773","0.23278048780487806"
"127","2372","23.14146341463415","7.432667827951225","0.07432667827951225","0.23141463414634147"
"128","2345","22.878048780487806","7.328152217606861","0.0732815221760686","0.22878048780487806"
"129","2328","22.712195121951222","7.277234356157042","0.07277234356157042","0.2271219512195122"
"130","2316","22.595121951219515","7.212917057483585","0.07212917057483585","0.22595121951219513"
"131","2292","22.3609756097561","7.14457992764304","0.0714457992764304","0.22360975609756098"
"132","2272","22.165853658536587","7.08964223502613","0.07089642235026129","0.22165853658536586"
"133","2253","21.98048780487805","7.0347045424092185","0.07034704542409219","0.2198048780487805"
"134","2233","21.785365853658536","6.944928313010854","0.06944928313010854","0.21785365853658537"
"135","2217","21.629268292682926","6.900710170172852","0.06900710170172852","0.21629268292682927"
"136","2202","21.482926829268294","6.844432533833579","0.06844432533833579","0.21482926829268292"
"137","2191","21.37560975609756","6.777435347715397","0.06777435347715396","0.2137560975609756"
"138","2178","21.24878048780488","6.722497655098486","0.06722497655098486","0.21248780487804877"
"139","2162","21.09268292682927","6.676939568538122","0.06676939568538122","0.21092682926829268"
"140","2146","20.93658536585366","6.622001875921211","0.06622001875921212","0.20936585365853658"
"141","2123","20.71219512195122","6.58850328286212","0.0658850328286212","0.20712195121951218"
"142","2109","20.57560975609756","6.536245477689937","0.06536245477689936","0.2057560975609756"
"143","2094","20.429268292682927","6.483987672517754","0.06483987672517755","0.20429268292682926"
"144","2083","20.321951219512194","6.429049979900844","0.06429049979900844","0.20321951219512194"
"145","2065","20.146341463414636","6.3687525123944795","0.0636875251239448","0.20146341463414635"
"146","2053","20.02926829268293","6.311134932332842","0.06311134932332842","0.20029268292682928"
"147","2039","19.89268292682927","6.246817633659386","0.062468176336593864","0.1989268292682927"
"148","2027","19.775609756097563","6.194559828487203","0.06194559828487203","0.19775609756097562"
"149","2011","19.619512195121953","6.144981910759748","0.06144981910759748","0.19619512195121952"
"150","1998","19.492682926829268","6.091384161865202","0.060913841618652015","0.1949268292682927"
"151","1987","19.385365853658538","6.029746750636473","0.060297467506364735","0.19385365853658537"
"152","1975","19.26829268292683","5.982848720353745","0.05982848720353745","0.1926829268292683"
"153","1963","19.151219512195123","5.921211309125017","0.05921211309125017","0.19151219512195122"
"154","1951","19.034146341463416","5.876993166287016","0.05876993166287016","0.19034146341463415"
"155","1938","18.90731707317073","5.826075304837197","0.05826075304837197","0.18907317073170732"
"156","1924","18.770731707317072","5.7738174996650145","0.05773817499665014","0.18770731707317073"
"157","1914","18.673170731707316","5.733619187994105","0.057336191879941045","0.18673170731707317"
"158","1898","18.517073170731706","5.680021439099558","0.05680021439099558","0.18517073170731707"
"159","1884","18.380487804878047","5.639823127428648","0.05639823127428648","0.18380487804878048"
"160","1869","18.234146341463415","5.600964759480101","0.05600964759480102","0.18234146341463414"
"161","1855","18.097560975609756","5.562106391531556","0.05562106391531556","0.18097560975609756"
"162","1848","18.029268292682925","5.5111885300817365","0.05511188530081736","0.18029268292682926"
"163","1832","17.873170731707315","5.484389655634463","0.05484389655634463","0.17873170731707316"
"164","1816","17.717073170731705","5.4401715127964625","0.05440171512796463","0.17717073170731706"
"165","1800","17.560975609756095","5.395953369958462","0.053959533699584616","0.17560975609756097"
"166","1787","17.434146341463414","5.363794720621734","0.05363794720621734","0.17434146341463413"
"167","1776","17.32682926829268","5.3209165215060965","0.053209165215060965","0.17326829268292682"
"168","1765","17.21951219512195","5.280718209835187","0.05280718209835187","0.1721951219512195"
"169","1750","17.073170731707318","5.2244405734959125","0.05224440573495913","0.17073170731707318"
"170","1738","16.95609756097561","5.184242261825004","0.051842422618250034","0.1695609756097561"
"171","1728","16.858536585365854","5.138684175264639","0.05138684175264639","0.16858536585365855"
"172","1716","16.741463414634147","5.103845638483183","0.051038456384831836","0.16741463414634147"
"173","1703","16.614634146341466","5.063647326812274","0.05063647326812274","0.16614634146341464"
"174","1693","16.51707317073171","5.023449015141364","0.05023449015141364","0.16517073170731708"
"175","1682","16.409756097560976","4.995310196971727","0.04995310196971727","0.16409756097560976"
"176","1666","16.253658536585366","4.956451829023181","0.04956451829023181","0.16253658536585366"
"177","1656","16.15609756097561","4.918933404796999","0.04918933404796998","0.1615609756097561"
"178","1642","16.01951219512195","4.884094868015543","0.048840948680155434","0.16019512195121952"
"179","1634","15.941463414634146","4.826477287953906","0.04826477287953906","0.15941463414634147"
"180","1620","15.804878048780488","4.779579257671178","0.04779579257671178","0.15804878048780488"
"181","1610","15.707317073170731","4.756800214390996","0.04756800214390996","0.15707317073170732"
"182","1602","15.629268292682926","4.720621733887176","0.047206217338871766","0.15629268292682927"
"183","1596","15.570731707317073","4.7005225780517215","0.04700522578051722","0.15570731707317073"
"184","1590","15.512195121951219","4.673723703604448","0.04673723703604449","0.1551219512195122"
"185","1583","15.44390243902439","4.624145785876993","0.04624145785876993","0.1544390243902439"
"186","1576","15.37560975609756","4.59734691142972","0.0459734691142972","0.1537560975609756"
"187","1574","15.35609756097561","4.563848318370629","0.04563848318370629","0.1535609756097561"
"188","1562","15.239024390243902","4.5357095002009915","0.04535709500200991","0.15239024390243902"
"189","1554","15.160975609756097","4.5129304569208095","0.04512930456920809","0.15160975609756097"
"190","1542","15.04390243902439","4.486131582473536","0.04486131582473536","0.1504390243902439"
"191","1532","14.946341463414633","4.449953101969717","0.04449953101969717","0.14946341463414634"
"192","1524","14.868292682926828","4.419134396355353","0.04419134396355353","0.14868292682926829"
"193","1518","14.809756097560975","4.374916253517353","0.043749162535173525","0.14809756097560975"
"194","1508","14.712195121951218","4.314618786010987","0.043146187860109875","0.1471219512195122"
"195","1496","14.595121951219511","4.277100361784806","0.04277100361784805","0.1459512195121951"
"196","1488","14.517073170731706","4.243601768725713","0.04243601768725713","0.14517073170731706"
"197","1477","14.409756097560974","4.204743400777168","0.042047434007771674","0.14409756097560975"
"198","1466","14.302439024390242","4.179284470052258","0.04179284470052258","0.14302439024390243"
"199","1457","14.214634146341462","4.145785876993166","0.04145785876993166","0.14214634146341462"
"200","1449","14.136585365853657","4.109607396489348","0.041096073964893474","0.14136585365853657"
"201","1441","14.058536585365855","4.073428915985529","0.04073428915985529","0.14058536585365855"
"202","1432","13.970731707317075","4.045290097815892","0.040452900978158915","0.13970731707317074"
"203","1422","13.873170731707319","4.021171110813346","0.04021171110813346","0.13873170731707318"
"204","1418","13.834146341463416","3.9997320112555275","0.039997320112555274","0.13834146341463416"
"205","1411","13.765853658536587","3.9595336995846173","0.03959533699584617","0.13765853658536586"
"206","1401","13.66829268292683","3.9394345437491625","0.039394345437491624","0.1366829268292683"
"207","1396","13.619512195121953","3.917995444191344","0.03917995444191344","0.13619512195121952"
"208","1378","13.443902439024392","3.893876457188798","0.03893876457188798","0.1344390243902439"
"209","1368","13.346341463414635","3.8590379204073426","0.038590379204073426","0.13346341463414635"
"210","1358","13.24878048780488","3.8295591585153423","0.03829559158515342","0.1324878048780488"
"211","1352","13.190243902439025","3.8054401715127963","0.038054401715127965","0.13190243902439025"
"212","1342","13.09268292682927","3.7746214658984325","0.037746214658984326","0.1309268292682927"
"213","1333","13.004878048780489","3.750502478895886","0.03750502478895886","0.13004878048780488"
"214","1325","12.926829268292684","3.723703604448613","0.03723703604448613","0.12926829268292683"
"215","1312","12.8","3.7022645048907945","0.03702264504890795","0.128"
"216","1301","12.692682926829269","3.6714457992764307","0.03671445799276431","0.12692682926829268"
"217","1293","12.614634146341464","3.6513466434409754","0.03651346643440975","0.12614634146341464"
"218","1288","12.565853658536586","3.621867881548975","0.03621867881548975","0.12565853658536585"
"219","1278","12.46829268292683","3.6017687257135202","0.0360176872571352","0.12468292682926829"
"220","1267","12.360975609756098","3.569610076376792","0.03569610076376792","0.12360975609756097"
"221","1258","12.273170731707317","3.5334315958729734","0.03533431595872973","0.12273170731707317"
"222","1251","12.204878048780488","3.511992496315155","0.03511992496315155","0.12204878048780488"
"223","1241","12.107317073170732","3.4905533967573366","0.034905533967573364","0.12107317073170731"
"224","1232","12.019512195121951","3.46643440975479","0.0346643440975479","0.12019512195121951"
"225","1225","11.951219512195122","3.442315422752244","0.03442315422752244","0.11951219512195121"
"226","1216","11.863414634146341","3.4101567734155167","0.034101567734155167","0.11863414634146341"
"227","1207","11.77560975609756","3.386037786412971","0.03386037786412971","0.1177560975609756"
"228","1196","11.66829268292683","3.3538791370762424","0.033538791370762426","0.1166829268292683"
"229","1193","11.639024390243904","3.3163607128500603","0.033163607128500604","0.11639024390243903"
"230","1188","11.590243902439026","3.28688195095806","0.0328688195095806","0.11590243902439025"
"231","1180","11.51219512195122","3.2547233016213317","0.03254723301621332","0.1151219512195122"
"232","1173","11.443902439024392","3.2332842020635133","0.03233284202063513","0.1144390243902439"
"233","1165","11.365853658536587","3.2172048773951496","0.032172048773951495","0.11365853658536586"
"234","1160","11.317073170731708","3.1984456652820583","0.031984456652820584","0.11317073170731708"
"235","1150","11.219512195121952","3.174326678279512","0.03174326678279512","0.11219512195121951"
"236","1147","11.190243902439025","3.146187860109875","0.03146187860109875","0.11190243902439025"
"237","1138","11.102439024390245","3.128768591719148","0.03128768591719148","0.11102439024390244"
"238","1126","10.985365853658537","3.1073294921613295","0.031073294921613294","0.10985365853658537"
"239","1120","10.926829268292684","3.0979498861047836","0.030979498861047835","0.10926829268292683"
"240","1113","10.858536585365854","3.0711510116575105","0.030711510116575105","0.10858536585365854"
"241","1109","10.819512195121952","3.0590915181562375","0.030590915181562376","0.10819512195121951"
"242","1096","10.692682926829269","3.0416722497655098","0.030416722497655098","0.10692682926829268"
"243","1088","10.614634146341464","3.0269328688195096","0.030269328688195096","0.10614634146341463"
"244","1080","10.536585365853659","3.0054937692616908","0.03005493769261691","0.10536585365853658"
"245","1075","10.487804878048781","2.992094332038054","0.029920943320380543","0.1048780487804878"
"246","1071","10.448780487804878","2.974675063647327","0.02974675063647327","0.10448780487804878"
"247","1065","10.390243902439025","2.966635401313145","0.02966635401313145","0.10390243902439024"
"248","1058","10.321951219512195","2.955915851534235","0.029559158515342354","0.10321951219512195"
"249","1055","10.292682926829269","2.933136808254053","0.029331368082540533","0.10292682926829268"
"250","1051","10.253658536585366","2.922417258475144","0.02922417258475144","0.10253658536585365"
"251","1046","10.204878048780488","2.909017821251507","0.029090178212515073","0.10204878048780487"
"252","1037","10.117073170731707","2.8902586091384164","0.02890258609138416","0.10117073170731708"
"253","1031","10.058536585365854","2.8728393407476887","0.028728393407476887","0.10058536585365854"
"254","1027","10.019512195121951","2.8487203537451427","0.028487203537451426","0.10019512195121952"
"255","1023","9.980487804878049","2.8393407476885972","0.02839340747688597","0.0998048780487805"
"256","1020","9.951219512195122","2.8272812541873242","0.028272812541873242","0.09951219512195122"
"257","1018","9.93170731707317","2.8058421546295054","0.028058421546295054","0.09931707317073171"
"258","1009","9.84390243902439","2.788422886238778","0.02788422886238778","0.0984390243902439"
"259","1000","9.75609756097561","2.7669837866809597","0.027669837866809596","0.0975609756097561"
"260","989","9.648780487804878","2.7468846308455044","0.027468846308455044","0.09648780487804878"
"261","985","9.609756097560975","2.7308053061771407","0.027308053061771406","0.09609756097560976"
"262","976","9.521951219512195","2.7214257001205953","0.02721425700120595","0.09521951219512195"
"263","972","9.482926829268292","2.709366206619322","0.02709366206619322","0.09482926829268293"
"264","969","9.453658536585365","2.689267050783867","0.02689267050783867","0.09453658536585366"
"265","964","9.404878048780487","2.6678279512260485","0.026678279512260487","0.09404878048780488"
"266","960","9.365853658536585","2.6477287953905937","0.026477287953905936","0.09365853658536585"
"267","956","9.326829268292682","2.639689133056412","0.026396891330564116","0.09326829268292683"
"268","951","9.278048780487804","2.6249497521104113","0.026249497521104115","0.09278048780487805"
"269","946","9.229268292682926","2.6128902586091383","0.026128902586091383","0.09229268292682927"
"270","942","9.190243902439024","2.6021707088302293","0.02602170708830229","0.09190243902439024"
"271","935","9.121951219512194","2.5820715529947744","0.025820715529947743","0.09121951219512195"
"272","932","9.092682926829267","2.561972397159319","0.025619723971593192","0.09092682926829268"
"273","926","9.034146341463414","2.543213185046228","0.02543213185046228","0.09034146341463414"
"274","922","8.995121951219511","2.532493635267319","0.02532493635267319","0.08995121951219512"
"275","916","8.936585365853658","2.5177542543213183","0.025177542543213183","0.08936585365853658"
"276","910","8.878048780487804","2.5097145919871364","0.025097145919871364","0.08878048780487804"
"277","907","8.848780487804877","2.4869355487069544","0.024869355487069544","0.08848780487804878"
"278","903","8.809756097560975","2.4721961677609543","0.024721961677609542","0.08809756097560975"
"279","894","8.721951219512194","2.4453972933136807","0.02445397293313681","0.08721951219512195"
"280","889","8.673170731707316","2.42663808120059","0.024266380812005897","0.08673170731707316"
"281","888","8.66341463414634","2.4145785876993164","0.024145785876993165","0.08663414634146341"
"282","884","8.624390243902438","2.4038590379204074","0.024038590379204073","0.08624390243902438"
"283","880","8.585365853658537","2.3837598820849526","0.023837598820849525","0.08585365853658537"
"284","874","8.526829268292683","2.3770601634731343","0.023770601634731343","0.08526829268292684"
"285","865","8.439024390243903","2.3556210639153154","0.023556210639153155","0.08439024390243903"
"286","856","8.351219512195122","2.342221626691679","0.02342221626691679","0.08351219512195122"
"287","853","8.321951219512195","2.3288221894680423","0.023288221894680425","0.08321951219512196"
"288","848","8.273170731707317","2.3114029210773146","0.023114029210773147","0.08273170731707317"
"289","839","8.185365853658537","2.298003483853678","0.02298003483853678","0.08185365853658537"
"290","830","8.097560975609756","2.295323596408951","0.02295323596408951","0.08097560975609756"
"291","828","8.078048780487805","2.2859439903524055","0.022859439903524053","0.08078048780487805"
"292","821","8.009756097560976","2.26584483451695","0.022658448345169502","0.08009756097560976"
"293","819","7.990243902439024","2.259145115905132","0.02259145115905132","0.07990243902439025"
"294","814","7.941463414634146","2.2444057349591318","0.022444057349591318","0.07941463414634146"
"295","810","7.902439024390244","2.2350261289025863","0.022350261289025862","0.07902439024390244"
"296","807","7.873170731707317","2.2243065791236765","0.022243065791236766","0.07873170731707317"
"297","803","7.8341463414634145","2.212247085622404","0.022122470856224038","0.07834146341463415"
"298","801","7.814634146341463","2.200187592121131","0.02200187592121131","0.07814634146341463"
"299","798","7.785365853658536","2.1867881548974943","0.021867881548974944","0.07785365853658537"
"300","796","7.765853658536585","2.1747286613962213","0.021747286613962212","0.07765853658536585"
"301","791","7.717073170731707","2.158649336727857","0.021586493367278574","0.07717073170731707"
"302","787","7.678048780487805","2.1506096743936753","0.021506096743936755","0.07678048780487805"
"303","781","7.619512195121951","2.143909955781857","0.021439099557818572","0.07619512195121951"
"304","777","7.580487804878048","2.1318504622805845","0.021318504622805844","0.07580487804878049"
"305","770","7.512195121951219","2.1130912501674928","0.02113091250167493","0.07512195121951219"
"306","767","7.482926829268292","2.1063915315556745","0.021063915315556746","0.07482926829268292"
"307","762","7.434146341463414","2.097011925499129","0.02097011925499129","0.07434146341463414"
"308","758","7.395121951219512","2.0836124882754925","0.020836124882754926","0.07395121951219512"
"309","756","7.37560975609756","2.0742328822189466","0.020742328822189467","0.0737560975609756"
"310","752","7.336585365853658","2.0594935012729465","0.020594935012729465","0.07336585365853658"
"311","745","7.268292682926829","2.0474340077716735","0.020474340077716736","0.07268292682926829"
"312","739","7.209756097560975","2.0326946268256734","0.020326946268256735","0.07209756097560975"
"313","733","7.151219512195121","2.0233150207691275","0.020233150207691276","0.07151219512195121"
"314","726","7.082926829268292","2.0112555272678545","0.020112555272678547","0.07082926829268292"
"315","719","7.014634146341464","1.9911563714323999","0.019911563714324","0.07014634146341464"
"316","716","6.9853658536585375","1.983116709098218","0.01983116709098218","0.06985365853658537"
"317","715","6.975609756097562","1.9723971593193084","0.019723971593193085","0.06975609756097562"
"318","710","6.926829268292684","1.963017553262763","0.01963017553262763","0.06926829268292684"
"319","706","6.887804878048781","1.9536379472062173","0.019536379472062174","0.06887804878048781"
"320","703","6.858536585365854","1.940238509982581","0.01940238509982581","0.06858536585365854"
"321","701","6.839024390243903","1.9335387913707627","0.019335387913707626","0.06839024390243903"
"322","694","6.770731707317074","1.918799410424762","0.01918799410424762","0.06770731707317074"
"323","688","6.71219512195122","1.9107597480905802","0.019107597480905802","0.0671219512195122"
"324","684","6.673170731707318","1.9067399169234893","0.019067399169234892","0.06673170731707317"
"325","675","6.585365853658537","1.8973603108669437","0.018973603108669437","0.06585365853658537"
"326","670","6.536585365853659","1.892000535977489","0.01892000535977489","0.06536585365853659"
"327","666","6.4975609756097565","1.885300817365671","0.018853008173656708","0.06497560975609756"
"328","661","6.4487804878048784","1.8759212113091248","0.01875921211309125","0.06448780487804878"
"329","657","6.409756097560976","1.8652016615302156","0.018652016615302157","0.06409756097560976"
"330","655","6.390243902439025","1.8585019429183975","0.018585019429183974","0.06390243902439025"
"331","648","6.321951219512195","1.8531421680289428","0.01853142168028943","0.06321951219512195"
"332","646","6.302439024390244","1.849122336861852","0.01849122336861852","0.06302439024390244"
"333","642","6.263414634146342","1.8397427308053063","0.018397427308053063","0.06263414634146341"
"334","640","6.2439024390243905","1.8303631247487604","0.018303631247487604","0.0624390243902439"
"335","639","6.234146341463415","1.8236634061369421","0.01823663406136942","0.062341463414634146"
"336","632","6.1658536585365855","1.8102639689133055","0.018102639689133056","0.06165853658536585"
"337","628","6.126829268292683","1.8008843628567601","0.0180088436285676","0.06126829268292683"
"338","627","6.117073170731707","1.7915047568002145","0.017915047568002145","0.06117073170731707"
"339","619","6.0390243902439025","1.7767653758542141","0.01776765375854214","0.06039024390243902"
