"PS potential (Σ classifier distance P)","count","% of set, input file","% of set, human proteome","human proteome accepted","input file accepted (recall)"
"0","10250","100","100","1","1"
"1","9366","91.37560975609756","67.45678681495377","0.6745678681495377","0.9137560975609756"
"2","9127","89.0439024390244","62.78708294251641","0.6278708294251641","0.8904390243902439"
"3","8873","86.56585365853658","59.21747286613962","0.5921747286613962","0.8656585365853658"
"4","8675","84.6341463414634","56.313814819777576","0.5631381481977757","0.8463414634146341"
"5","8491","82.83902439024389","53.88315690740989","0.5388315690740989","0.828390243902439"
"6","8326","81.22926829268293","51.64143105989548","0.5164143105989548","0.8122926829268293"
"7","8166","79.66829268292683","49.69047300013399","0.49690473000133994","0.7966829268292683"
"8","8027","78.31219512195122","47.77703336459869","0.47777033364598687","0.7831219512195122"
"9","7898","77.05365853658537","46.14230202331502","0.4614230202331502","0.7705365853658537"
"10","7770","75.8048780487805","44.5611684309259","0.445611684309259","0.7580487804878049"
"11","7617","74.31219512195122","43.146187860109876","0.43146187860109875","0.7431219512195122"
"12","7483","73.00487804878048","41.85180222430658","0.4185180222430658","0.7300487804878049"
"13","7367","71.87317073170732","40.66863191745947","0.4066863191745947","0.7187317073170731"
"14","7263","70.85853658536585","39.531019697172724","0.3953101969717272","0.7085853658536585"
"15","7134","69.6","38.41618652016615","0.3841618652016615","0.696"
"16","7021","68.49756097560976","37.380410022779046","0.3738041002277904","0.6849756097560976"
"17","6914","67.45365853658537","36.42101031756666","0.3642101031756666","0.6745365853658537"
"18","6825","66.58536585365854","35.52994774219483","0.3552994774219483","0.6658536585365854"
"19","6738","65.73658536585366","34.65228460404663","0.3465228460404663","0.6573658536585366"
"20","6662","64.99512195121952","33.767921747286614","0.33767921747286617","0.6499512195121951"
"21","6570","64.09756097560975","33.00013399437224","0.3300013399437224","0.6409756097560976"
"22","6479","63.20975609756098","32.30872303363259","0.32308723033632586","0.6320975609756098"
"23","6388","62.321951219512194","31.539595336995845","0.31539595336995846","0.623219512195122"
"24","6305","61.512195121951216","30.751708428246015","0.30751708428246016","0.6151219512195122"
"25","6225","60.731707317073166","30.09647594801018","0.3009647594801018","0.6073170731707317"
"26","6147","59.97073170731707","29.496181160391266","0.29496181160391266","0.5997073170731707"
"27","6052","59.043902439024386","28.804770199651614","0.28804770199651614","0.5904390243902439"
"28","5975","58.292682926829265","28.145517888248694","0.28145517888248694","0.5829268292682926"
"29","5898","57.541463414634144","27.502344901514135","0.27502344901514136","0.5754146341463414"
"30","5818","56.760975609756095","26.89669033900576","0.26896690339005763","0.5676097560975609"
"31","5736","55.960975609756105","26.367412568672115","0.26367412568672116","0.559609756097561"
"32","5659","55.209756097560984","25.79525659922283","0.2579525659922283","0.5520975609756098"
"33","5586","54.49756097560976","25.274018491223373","0.2527401849122337","0.5449756097560976"
"34","5506","53.71707317073171","24.79833846978427","0.2479833846978427","0.5371707317073171"
"35","5442","53.09268292682927","24.258341149671715","0.24258341149671714","0.5309268292682927"
"36","5377","52.458536585365856","23.80276028406807","0.2380276028406807","0.5245853658536586"
"37","5293","51.639024390243904","23.355219080798605","0.23355219080798606","0.516390243902439"
"38","5249","51.20975609756098","22.92509714591987","0.2292509714591987","0.5120975609756098"
"39","5190","50.63414634146341","22.525793916655502","0.225257939166555","0.5063414634146342"
"40","5137","50.11707317073171","22.131850462280582","0.22131850462280583","0.5011707317073171"
"41","5078","49.541463414634144","21.73790700790567","0.21737907007905669","0.49541463414634146"
"42","5022","48.99512195121951","21.337263834918936","0.21337263834918935","0.4899512195121951"
"43","4950","48.292682926829265","20.96207959265711","0.2096207959265711","0.48292682926829267"
"44","4887","47.6780487804878","20.5788556880611","0.205788556880611","0.47678048780487803"
"45","4809","46.917073170731705","20.23717003885837","0.20237170038858368","0.46917073170731705"
"46","4771","46.546341463414635","19.903524051989816","0.19903524051989815","0.46546341463414637"
"47","4720","46.04878048780488","19.58595738978963","0.1958595738978963","0.4604878048780488"
"48","4674","45.6","19.212113091250167","0.1921211309125017","0.456"
"49","4633","45.2","18.89454642904998","0.1889454642904998","0.452"
"50","4602","44.89756097560976","18.574299879405064","0.18574299879405065","0.44897560975609757"
"51","4541","44.302439024390246","18.29023181026397","0.18290231810263968","0.44302439024390244"
"52","4489","43.795121951219514","18.000803966233416","0.18000803966233417","0.4379512195121951"
"53","4447","43.385365853658534","17.728795390593596","0.17728795390593596","0.43385365853658536"
"54","4410","43.02439024390244","17.451427040064317","0.17451427040064318","0.4302439024390244"
"55","4364","42.57560975609756","17.171378802090313","0.17171378802090312","0.4257560975609756"
"56","4321","42.15609756097561","16.898030282728126","0.16898030282728124","0.4215609756097561"
"57","4262","41.58048780487805","16.652820581535575","0.16652820581535577","0.41580487804878047"
"58","4229","41.25853658536585","16.419670373844298","0.16419670373844297","0.4125853658536585"
"59","4185","40.829268292682926","16.157041404261022","0.16157041404261022","0.40829268292682924"
"60","4136","40.35121951219512","15.92255125284738","0.1592255125284738","0.40351219512195124"
"61","4089","39.89268292682927","15.72825941310465","0.1572825941310465","0.3989268292682927"
"62","4049","39.50243902439025","15.543347179418465","0.15543347179418465","0.39502439024390246"
"63","4013","39.15121951219513","15.354415114565187","0.15354415114565187","0.39151219512195123"
"64","3978","38.80975609756098","15.16146321854482","0.1516146321854482","0.38809756097560977"
"65","3945","38.487804878048784","14.930992898298271","0.1493099289829827","0.3848780487804878"
"66","3910","38.146341463414636","14.740720889722631","0.1474072088972263","0.38146341463414635"
"67","3872","37.77560975609756","14.549108937424629","0.1454910893742463","0.3777560975609756"
"68","3828","37.34634146341463","14.34811737907008","0.1434811737907008","0.37346341463414634"
"69","3788","36.95609756097561","14.188664076108804","0.14188664076108803","0.3695609756097561"
"70","3737","36.458536585365856","13.98901246147662","0.1398901246147662","0.3645853658536585"
"71","3705","36.146341463414636","13.797400509178615","0.13797400509178614","0.36146341463414633"
"72","3675","35.853658536585364","13.607128500602975","0.13607128500602975","0.35853658536585364"
"73","3642","35.53170731707317","13.440975479029882","0.13440975479029882","0.3553170731707317"
"74","3611","35.229268292682924","13.262762963955513","0.13262762963955513","0.35229268292682925"
"75","3572","34.84878048780487","13.083210505158782","0.13083210505158782","0.34848780487804876"
"76","3548","34.61463414634146","12.950556076644782","0.1295055607664478","0.3461463414634146"
"77","3503","34.175609756097565","12.813881816963688","0.12813881816963688","0.34175609756097564"
"78","3467","33.82439024390244","12.685247219616777","0.12685247219616777","0.3382439024390244"
"79","3438","33.54146341463415","12.533833578989684","0.12533833578989684","0.3354146341463415"
"80","3404","33.20975609756098","12.385099825807316","0.12385099825807316","0.3320975609756098"
"81","3378","32.956097560975614","12.249765509848586","0.12249765509848587","0.3295609756097561"
"82","3350","32.6829268292683","12.082272544553128","0.12082272544553128","0.32682926829268294"
"83","3311","32.302439024390246","11.922819241591853","0.11922819241591853","0.32302439024390245"
