"length of longest PS IDR","count","% of set, input file","% of set, human proteome","human proteome accepted","input file accepted (recall)"
"0","10250","100","100","1","1"
"1","9446","92.15609756097561","69.13171646790835","0.6913171646790834","0.9215609756097561"
"2","9157","89.33658536585367","64.25566126222698","0.6425566126222698","0.8933658536585366"
"3","8844","86.28292682926829","60.191611952298004","0.6019161195229801","0.8628292682926829"
"4","8559","83.50243902439024","56.50542677207557","0.5650542677207557","0.8350243902439024"
"5","8296","80.93658536585366","53.47045424092188","0.5347045424092188","0.8093658536585366"
"6","8045","78.48780487804878","50.75036848452365","0.5075036848452364","0.7848780487804878"
"7","7795","76.04878048780488","48.331770065657246","0.4833177006565724","0.7604878048780488"
"8","7545","73.60975609756098","46.19187994104247","0.46191879941042474","0.7360975609756097"
"9","7545","73.60975609756098","46.19187994104247","0.46191879941042474","0.7360975609756097"
"10","7373","71.93170731707316","44.506230738308986","0.4450623073830899","0.7193170731707317"
"11","7162","69.87317073170732","42.91169770869623","0.42911697708696234","0.6987317073170731"
"12","6992","68.21463414634147","41.46455848854348","0.4146455848854348","0.6821463414634147"
"13","6759","65.94146341463414","38.89186654160525","0.3889186654160525","0.6594146341463415"
"14","6519","63.6","36.38751172450757","0.3638751172450757","0.636"
"15","6260","61.073170731707314","34.12836660860244","0.3412836660860244","0.6107317073170732"
"16","5984","58.380487804878044","32.10639153155567","0.3210639153155567","0.5838048780487805"
"17","5763","56.22439024390245","30.34972531153692","0.3034972531153692","0.5622439024390244"
"18","5560","54.243902439024396","28.47782393139488","0.2847782393139488","0.5424390243902439"
"19","5539","54.03902439024391","28.18437625619724","0.2818437625619724","0.5403902439024391"
"20","5349","52.18536585365854","26.626021707088306","0.26626021707088304","0.5218536585365854"
"21","5161","50.35121951219512","25.118585019429183","0.25118585019429185","0.5035121951219512"
"22","4975","48.536585365853654","23.750502478895886","0.23750502478895885","0.4853658536585366"
"23","4802","46.84878048780488","22.398499263030953","0.22398499263030952","0.4684878048780488"
"24","4627","45.141463414634146","21.078654696502745","0.21078654696502747","0.4514146341463415"
"25","4439","43.30731707317073","19.87940506498727","0.1987940506498727","0.4330731707317073"
"26","4263","41.59024390243902","18.68953503952834","0.1868953503952834","0.4159024390243902"
"27","4066","39.66829268292683","17.38978962883559","0.1738978962883559","0.3966829268292683"
"28","3903","38.078048780487805","16.287015945330296","0.16287015945330297","0.38078048780487805"
"29","3887","37.921951219512195","16.12354281120193","0.1612354281120193","0.37921951219512195"
"30","3721","36.302439024390246","15.085086426370092","0.15085086426370092","0.36302439024390243"
"31","3547","34.604878048780485","14.11094734021171","0.1411094734021171","0.34604878048780485"
"32","3393","33.10243902439024","13.276162401179151","0.1327616240117915","0.33102439024390246"
"33","3261","31.814634146341465","12.436017687257134","0.12436017687257135","0.31814634146341464"
"34","3139","30.62439024390244","11.68028942784403","0.1168028942784403","0.3062439024390244"
"35","3022","29.48292682926829","10.947340211711108","0.10947340211711108","0.2948292682926829"
"36","2927","28.55609756097561","10.301487337531825","0.10301487337531824","0.2855609756097561"
"37","2822","27.531707317073174","9.80168832909018","0.09801688329090179","0.27531707317073173"
"38","2706","26.400000000000002","9.267050783867077","0.09267050783867077","0.264"
"39","2701","26.351219512195122","9.222832641029077","0.09222832641029077","0.26351219512195123"
"40","2599","25.35609756097561","8.731073294921615","0.08731073294921614","0.2535609756097561"
"41","2493","24.321951219512194","8.251373442315423","0.08251373442315423","0.24321951219512195"
"42","2420","23.609756097560975","7.742194827817232","0.07742194827817232","0.23609756097560974"
"43","2336","22.790243902439027","7.396489347447408","0.07396489347447407","0.22790243902439025"
"44","2235","21.804878048780488","7.021305105185583","0.07021305105185582","0.21804878048780488"
"45","2162","21.09268292682927","6.725177542543213","0.06725177542543213","0.21092682926829268"
"46","2082","20.31219512195122","6.321854482111751","0.06321854482111751","0.2031219512195122"
"47","2017","19.678048780487806","6.019027200857565","0.06019027200857564","0.19678048780487806"
"48","1949","19.014634146341464","5.674661664210103","0.05674661664210103","0.19014634146341464"
"49","1945","18.975609756097562","5.649202733485194","0.05649202733485194","0.1897560975609756"
"50","1881","18.351219512195122","5.470990218410827","0.05470990218410827","0.18351219512195122"
"51","1816","17.717073170731705","5.209701192549913","0.05209701192549913","0.17717073170731706"
"52","1772","17.287804878048778","4.963151547634999","0.049631515476349995","0.1728780487804878"
"53","1712","16.702439024390245","4.775559426504087","0.04775559426504087","0.16702439024390245"
"54","1656","16.15609756097561","4.602706686319174","0.046027066863191746","0.1615609756097561"
"55","1618","15.785365853658536","4.457992764303899","0.044579927643038995","0.15785365853658537"
"56","1556","15.180487804878048","4.313278842288624","0.04313278842288624","0.15180487804878048"
"57","1487","14.50731707317073","4.12166688999062","0.0412166688999062","0.1450731707317073"
"58","1449","14.136585365853657","3.9595336995846173","0.03959533699584617","0.14136585365853657"
"59","1446","14.10731707317073","3.943454374916253","0.03943454374916253","0.1410731707317073"
"60","1409","13.746341463414636","3.810799946402251","0.03810799946402251","0.13746341463414635"
"61","1359","13.258536585365855","3.644646924829157","0.03644646924829157","0.13258536585365854"
"62","1316","12.839024390243903","3.4758140158113364","0.03475814015811336","0.12839024390243903"
"63","1277","12.458536585365854","3.3632587431327883","0.03363258743132788","0.12458536585365854"
"64","1246","12.15609756097561","3.226584483451695","0.03226584483451695","0.1215609756097561"
"65","1206","11.765853658536585","3.092590111215329","0.03092590111215329","0.11765853658536585"
"66","1152","11.239024390243904","2.9827147259815088","0.029827147259815088","0.11239024390243903"
"67","1112","10.848780487804879","2.840680691410961","0.028406806914109607","0.10848780487804878"
"68","1080","10.536585365853659","2.7415248559560497","0.0274152485595605","0.10536585365853658"
"69","1078","10.517073170731708","2.7361650810665954","0.027361650810665952","0.10517073170731707"
"70","1046","10.204878048780488","2.638349189334048","0.02638349189334048","0.10204878048780487"
"71","1010","9.853658536585366","2.5123944794318636","0.025123944794318637","0.09853658536585366"
"72","986","9.61951219512195","2.437357630979499","0.02437357630979499","0.09619512195121951"
"73","955","9.317073170731707","2.3355219080798606","0.023355219080798607","0.09317073170731707"
"74","930","9.073170731707316","2.247085622403859","0.02247085622403859","0.09073170731707317"
"75","909","8.868292682926828","2.1519496181160394","0.02151949618116039","0.08868292682926829"
"76","877","8.55609756097561","2.105051587833311","0.02105051587833311","0.0855609756097561"
"77","856","8.351219512195122","2.021975077046764","0.02021975077046764","0.08351219512195122"
"78","829","8.08780487804878","1.9415784537049445","0.019415784537049445","0.08087804878048781"
"79","827","8.06829268292683","1.9335387913707627","0.019335387913707626","0.0806829268292683"
"80","797","7.775609756097561","1.8946804234222163","0.018946804234222164","0.07775609756097561"
"81","774","7.5512195121951216","1.8611818303631247","0.018611818303631247","0.07551219512195122"
"82","751","7.326829268292682","1.7874849256331236","0.017874849256331236","0.07326829268292682"
"83","730","7.121951219512194","1.7419268390727591","0.01741926839072759","0.07121951219512195"
"84","715","6.975609756097562","1.6843092590111213","0.016843092590111214","0.06975609756097562"
"85","695","6.7804878048780495","1.6414310598954844","0.016414310598954845","0.06780487804878049"
"86","677","6.604878048780488","1.5878333110009377","0.015878333110009378","0.06604878048780488"
"87","656","6.4","1.55567466166421","0.015556746616642102","0.064"
"88","634","6.185365853658537","1.4980570816025727","0.014980570816025727","0.061853658536585365"
"89","632","6.1658536585365855","1.4953771941578453","0.014953771941578453","0.06165853658536585"
"90","616","6.009756097560976","1.4685783197105722","0.014685783197105721","0.060097560975609754"
"91","602","5.873170731707317","1.448479163875117","0.014484791638751172","0.05873170731707317"
"92","581","5.66829268292683","1.4109607396489348","0.014109607396489348","0.056682926829268294"
"93","560","5.463414634146342","1.378802090312207","0.013788020903122068","0.054634146341463415"
"94","543","5.297560975609756","1.3493233284202064","0.013493233284202063","0.05297560975609756"
"95","522","5.092682926829268","1.3158247353611148","0.013158247353611149","0.05092682926829268"
"96","513","5.004878048780488","1.267586761356023","0.01267586761356023","0.05004878048780488"
"97","496","4.839024390243902","1.2314082808522042","0.012314082808522041","0.048390243902439026"
"98","488","4.760975609756097","1.2113091250167494","0.012113091250167494","0.047609756097560976"
"99","488","4.760975609756097","1.2059493501272947","0.012059493501272946","0.047609756097560976"
"100","478","4.663414634146341","1.1724507570682032","0.011724507570682031","0.046634146341463414"
"101","463","4.517073170731707","1.137612220286748","0.01137612220286748","0.04517073170731707"
"102","456","4.448780487804878","1.109473402117111","0.01109473402117111","0.04448780487804878"
"103","444","4.33170731707317","1.0893742462816562","0.010893742462816563","0.043317073170731704"
"104","427","4.1658536585365855","1.058555540667292","0.01058555540667292","0.041658536585365856"
"105","421","4.107317073170732","1.046496047166019","0.01046496047166019","0.04107317073170732"
"106","414","4.0390243902439025","1.0330966099423824","0.010330966099423824","0.040390243902439026"
"107","404","3.9414634146341463","1.0103175666622002","0.010103175666622001","0.039414634146341464"
"108","395","3.8536585365853657","0.991558354549109","0.00991558354549109","0.03853658536585366"
"109","394","3.84390243902439","0.9888784671043815","0.009888784671043815","0.0384390243902439"
"110","388","3.7853658536585364","0.9660994238241993","0.009660994238241993","0.037853658536585365"
"111","378","3.68780487804878","0.9513600428781991","0.009513600428781991","0.0368780487804878"
"112","365","3.560975609756097","0.9339407744874715","0.009339407744874715","0.03560975609756097"
"113","361","3.5219512195121947","0.9232212247085623","0.009232212247085623","0.03521951219512195"
"114","351","3.4243902439024394","0.904462012595471","0.00904462012595471","0.03424390243902439"
"115","344","3.35609756097561","0.884362856760016","0.00884362856760016","0.0335609756097561"
"116","338","3.2975609756097564","0.8682835320916521","0.00868283532091652","0.03297560975609756"
"117","330","3.2195121951219514","0.8495243199785609","0.00849524319978561","0.03219512195121951"
"118","321","3.131707317073171","0.8361248827549242","0.008361248827549243","0.03131707317073171"
"119","321","3.131707317073171","0.8347849390325606","0.008347849390325606","0.03131707317073171"
"120","313","3.053658536585366","0.817365670641833","0.00817365670641833","0.030536585365853658"
"121","310","3.024390243902439","0.8120058957523784","0.008120058957523784","0.03024390243902439"
"122","298","2.907317073170732","0.8026262896958328","0.008026262896958328","0.02907317073170732"
"123","294","2.8682926829268296","0.7865469650274688","0.007865469650274688","0.028682926829268294"
"124","285","2.780487804878049","0.7798472464156505","0.007798472464156506","0.027804878048780488"
"125","277","2.702439024390244","0.7691276966367413","0.007691276966367413","0.02702439024390244"
"126","271","2.6439024390243904","0.7610880343025592","0.007610880343025593","0.0264390243902439"
"127","260","2.5365853658536586","0.738308991022377","0.00738308991022377","0.025365853658536587"
"128","257","2.5073170731707317","0.7302693286881952","0.007302693286881951","0.02507317073170732"
"129","257","2.5073170731707317","0.7275894412434677","0.007275894412434677","0.02507317073170732"
"130","250","2.4390243902439024","0.7168698914645585","0.007168698914645585","0.024390243902439025"
"131","245","2.3902439024390243","0.7048103979632856","0.007048103979632856","0.023902439024390244"
"132","235","2.292682926829268","0.7034704542409219","0.007034704542409219","0.022926829268292682"
"133","229","2.2341463414634144","0.6860511858501943","0.006860511858501943","0.022341463414634145"
"134","225","2.195121951219512","0.6820313546831034","0.006820313546831033","0.02195121951219512"
"135","221","2.1560975609756095","0.663272142570012","0.00663272142570012","0.021560975609756096"
"136","216","2.107317073170732","0.6552324802358301","0.006552324802358301","0.02107317073170732"
"137","213","2.078048780487805","0.6498727053463754","0.006498727053463754","0.02078048780487805"
"138","210","2.048780487804878","0.6418330430121935","0.0064183304301219345","0.02048780487804878"
"139","210","2.048780487804878","0.6418330430121935","0.0064183304301219345","0.02048780487804878"
"140","202","1.9707317073170731","0.6391531555674661","0.0063915315556746614","0.019707317073170732"
"141","199","1.9414634146341463","0.6297735495109205","0.006297735495109205","0.019414634146341463"
"142","195","1.9024390243902438","0.6163741122872839","0.006163741122872839","0.01902439024390244"
"143","191","1.8634146341463413","0.6110143373978293","0.006110143373978293","0.018634146341463414"
"144","188","1.8341463414634145","0.5989548438965564","0.0059895484389655635","0.018341463414634145"
"145","184","1.795121951219512","0.5935950690071018","0.005935950690071017","0.01795121951219512"
"146","177","1.7268292682926831","0.5788556880611014","0.005788556880611014","0.01726829268292683"
"147","173","1.6878048780487807","0.5788556880611014","0.005788556880611014","0.016878048780487806"
"148","168","1.6390243902439026","0.5775157443387378","0.0057751574433873775","0.016390243902439025"
"149","168","1.6390243902439026","0.5775157443387378","0.0057751574433873775","0.016390243902439025"
"150","165","1.6097560975609757","0.5654562508374648","0.005654562508374648","0.016097560975609757"
"151","161","1.5707317073170732","0.5641163071151012","0.0056411630711510116","0.015707317073170732"
"152","157","1.5317073170731708","0.5574165885032829","0.005574165885032829","0.015317073170731707"
"153","152","1.4829268292682927","0.5533967573361919","0.005533967573361919","0.014829268292682926"
"154","145","1.4146341463414636","0.5520568136138282","0.005520568136138282","0.014146341463414635"
"155","144","1.404878048780488","0.5480369824467373","0.0054803698244673725","0.014048780487804878"
"156","141","1.375609756097561","0.5386573763901916","0.005386573763901916","0.01375609756097561"
"157","137","1.3365853658536586","0.5346375452231007","0.0053463754522310065","0.013365853658536585"
"158","134","1.3073170731707318","0.5225780517218277","0.005225780517218277","0.013073170731707317"
"159","134","1.3073170731707318","0.521238107999464","0.0052123810799946406","0.013073170731707317"
"160","132","1.2878048780487805","0.5198981642771004","0.005198981642771004","0.012878048780487804"
"161","129","1.2585365853658537","0.517218276832373","0.00517218276832373","0.012585365853658537"
"162","126","1.2292682926829268","0.513198445665282","0.005131984456652821","0.012292682926829269"
"163","124","1.2097560975609756","0.5064987270534638","0.005064987270534637","0.012097560975609756"
"164","121","1.1804878048780487","0.5011389521640092","0.005011389521640091","0.011804878048780488"
"165","118","1.1512195121951219","0.4984590647192818","0.004984590647192818","0.01151219512195122"
"166","116","1.1317073170731706","0.4971191209969182","0.004971191209969182","0.011317073170731707"
"167","115","1.121951219512195","0.4930992898298271","0.004930992898298271","0.01121951219512195"
"168","114","1.1121951219512194","0.4877395149403725","0.004877395149403725","0.011121951219512195"
"169","114","1.1121951219512194","0.4877395149403725","0.004877395149403725","0.011121951219512195"
"170","112","1.0926829268292682","0.48371968377328156","0.004837196837732816","0.010926829268292682"
"171","111","1.0829268292682925","0.48103979632855415","0.004810397963285542","0.010829268292682926"
"172","106","1.0341463414634147","0.47300013399437224","0.004730001339943723","0.010341463414634147"
